# 268686 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,11,0.053156,7.251973,302057.030448
4,6,0.032346,12.428455,288405.598348
8,16,0.016184,37.002063,277843.112889
16,33,0.008903,77.934252,273595.196830
32,20,0.004752,150.256840,271277.345569
64,29,0.002443,306.276237,270009.826839
128,31,0.001254,625.188607,269362.560338
256,29,0.000634,1266.084185,269027.353668
512,33,0.000313,2618.034716,268854.456669
1024,27,0.000155,5359.786386,268769.425495
2048,25,0.000075,11197.921133,268726.206815
