# data/codebooks/_/eps_0.0005_M_0128.cbook:
# P=2  size=128  className='_'
k1,k2
-0.339732,0.145092
-0.416448,0.131791
-0.381704,0.0361952
-0.472279,0.0580276
-0.409065,0.254136
-0.449833,0.206513
-0.500909,0.152031
-0.56164,0.0967112
-0.334179,0.4102
-0.393033,0.432558
-0.454419,0.291388
-0.503901,0.328606
-0.508284,0.241282
-0.559991,0.2999
-0.497601,0.410131
-0.547379,0.391735
-0.274552,0.407045
-0.259799,0.502167
-0.336887,0.54821
-0.355005,0.689016
-0.410314,0.569549
-0.47258,0.562353
-0.421652,0.713358
-0.480527,0.798362
-0.600138,0.374473
-0.662482,0.402639
-0.647448,0.529763
-0.706273,0.520942
-0.682351,0.647038
-0.72929,0.761055
-0.766111,0.580181
-0.825077,0.481853
-0.446751,0.373335
-0.451906,0.469871
-0.515128,0.482801
-0.535364,0.565866
-0.563207,0.478177
-0.610544,0.459203
-0.591985,0.557008
-0.62112,0.654197
-0.493529,0.659776
-0.566701,0.64353
-0.548041,0.734839
-0.562199,0.859697
-0.606135,0.765349
-0.653702,0.779631
-0.648126,0.876595
-0.681726,0.892295
-0.571138,0.203829
-0.626196,0.27801
-0.649494,0.165438
-0.726093,0.188779
-0.525393,-0.0274125
-0.634597,0.0407933
-0.665525,-0.0824588
-0.763413,-0.0856596
-0.696536,0.30622
-0.742004,0.410491
-0.780649,0.302394
-0.852603,0.246422
-0.727139,0.0518722
-0.798916,0.121084
-0.853656,-0.0659333
-0.901902,0.0672738
0.159208,-0.0623499
0.118571,0.164898
0.0631462,0.268887
0.119302,0.361357
0.197372,0.250634
0.339674,0.195384
0.387401,0.438503
0.556669,0.322237
0.0394753,0.445508
0.11768,0.51784
0.241294,0.404531
0.213496,0.615953
-0.0276915,0.499723
-0.0839852,0.676044
0.0172271,0.603086
0.0349615,0.748333
-0.0136215,0.170248
-0.0187815,0.272073
0.0174046,0.347686
-0.0313781,0.402599
-0.0469124,0.341762
-0.0883459,0.351536
-0.0836904,0.410181
-0.0908284,0.512203
-0.0787707,0.291306
-0.115605,0.291921
-0.122922,0.335752
-0.12446,0.378603
-0.137493,0.433678
-0.202484,0.421177
-0.172914,0.552257
-0.243397,0.693606
-0.0956303,0.1178
-0.148331,0.166037
-0.196563,0.102432
-0.206784,0.166797
-0.183402,-0.0786954
-0.285034,0.0783008
-0.263045,0.159723
-0.302236,0.20294
-0.100714,0.219041
-0.147705,0.253102
-0.145691,0.298535
-0.174684,0.293333
-0.15676,0.335083
-0.163497,0.377279
-0.194855,0.339705
-0.245334,0.349144
-0.176323,0.21438
-0.195188,0.253748
-0.205908,0.292117
-0.233579,0.305695
-0.268763,0.287975
-0.30053,0.324251
-0.332018,0.284781
-0.35577,0.33023
-0.228393,0.216873
-0.236062,0.261992
-0.26771,0.233881
-0.300129,0.260229
-0.337448,0.232038
-0.3794,0.20045
-0.368805,0.269646
-0.400346,0.324825

