index,cardinality,distortion
0,647,0.000215
1,692,0.000212
2,510,0.000289
3,643,0.000302
4,512,0.000360
5,534,0.000322
6,623,0.000281
7,540,0.000305
8,146,0.001240
9,387,0.000518
10,233,0.000726
11,290,0.000597
12,522,0.000507
13,395,0.000400
14,329,0.000434
15,342,0.000450
16,738,0.000149
17,802,0.000188
18,873,0.000182
19,642,0.000246
20,630,0.000243
21,663,0.000223
22,610,0.000260
23,552,0.000293
24,433,0.000330
25,475,0.000360
26,514,0.000345
27,532,0.000406
28,407,0.000410
29,297,0.000409
30,293,0.000509
31,285,0.000491
32,432,0.000317
33,313,0.000504
34,335,0.000422
35,236,0.000583
36,368,0.000357
37,400,0.000418
38,298,0.000555
39,293,0.000614
40,521,0.000243
41,512,0.000243
42,542,0.000266
43,540,0.000272
44,520,0.000308
45,573,0.000360
46,482,0.000334
47,414,0.000310
48,523,0.000295
49,503,0.000328
50,503,0.000312
51,462,0.000354
52,459,0.000316
53,465,0.000350
54,415,0.000383
55,432,0.000467
56,336,0.000344
57,401,0.000325
58,416,0.000342
59,421,0.000316
60,479,0.000345
61,437,0.000355
62,444,0.000349
63,393,0.000393
64,502,0.000330
65,293,0.000549
66,333,0.000526
67,238,0.000696
68,182,0.000877
69,233,0.000959
70,141,0.001197
71,85,0.001620
72,194,0.000683
73,171,0.000869
74,139,0.000999
75,158,0.001050
76,46,0.002357
77,29,0.005978
78,66,0.001997
79,52,0.005539
80,210,0.000785
81,236,0.000761
82,153,0.000827
83,137,0.001083
84,208,0.000695
85,247,0.000587
86,275,0.000493
87,232,0.000720
88,90,0.001721
89,119,0.001302
90,85,0.001926
91,71,0.002547
92,19,0.004328
93,18,0.006754
94,95,0.001781
95,87,0.001602
96,406,0.000356
97,359,0.000336
98,387,0.000423
99,320,0.000489
100,317,0.000532
101,329,0.000637
102,287,0.000606
103,210,0.000606
104,315,0.000544
105,266,0.000593
106,218,0.000757
107,169,0.001000
108,196,0.000717
109,139,0.000881
110,132,0.001106
111,125,0.001127
112,124,0.001042
113,107,0.001272
114,92,0.001175
115,79,0.001622
116,63,0.001575
117,38,0.003795
118,57,0.003545
119,23,0.005701
120,96,0.001655
121,90,0.001646
122,52,0.002583
123,33,0.005171
124,129,0.001170
125,99,0.001527
126,87,0.001902
127,39,0.005271
128,448,0.000304
129,408,0.000327
130,504,0.000291
131,454,0.000311
132,341,0.000380
133,308,0.000396
134,258,0.000567
135,279,0.000476
136,341,0.000373
137,320,0.000444
138,336,0.000325
139,357,0.000465
140,278,0.000555
141,245,0.000649
142,355,0.000484
143,307,0.000547
144,343,0.000347
145,335,0.000393
146,336,0.000436
147,290,0.000580
148,352,0.000401
149,328,0.000401
150,299,0.000516
151,235,0.000660
152,212,0.000630
153,247,0.000728
154,222,0.000702
155,153,0.000840
156,162,0.000862
157,183,0.000951
158,129,0.001091
159,94,0.001159
160,215,0.000798
161,171,0.000756
162,113,0.001328
163,126,0.001028
164,175,0.000795
165,156,0.000607
166,147,0.000691
167,151,0.000991
168,136,0.000984
169,85,0.001385
170,91,0.001435
171,75,0.001276
172,41,0.003373
173,43,0.004215
174,41,0.003506
175,19,0.006372
176,147,0.001113
177,120,0.001085
178,98,0.001514
179,59,0.002914
180,103,0.000980
181,84,0.001005
182,92,0.001402
183,36,0.002097
184,101,0.001310
185,97,0.001348
186,77,0.002644
187,22,0.001900
188,71,0.001363
189,32,0.002997
190,77,0.001864
191,34,0.002459
192,441,0.000443
193,383,0.000391
194,425,0.000344
195,312,0.000445
196,399,0.000416
197,338,0.000482
198,316,0.000475
199,267,0.000583
200,329,0.000484
201,324,0.000506
202,252,0.000527
203,298,0.000575
204,240,0.000616
205,269,0.000671
206,267,0.000862
207,198,0.000942
208,126,0.002171
209,150,0.001017
210,289,0.000683
211,323,0.000635
212,245,0.000832
213,234,0.000610
214,310,0.000661
215,235,0.000668
216,72,0.002583
217,108,0.001646
218,220,0.000864
219,238,0.000871
220,195,0.000808
221,107,0.001395
222,205,0.001008
223,114,0.001605
224,350,0.000668
225,248,0.000665
226,296,0.000696
227,245,0.000738
228,203,0.000672
229,208,0.000663
230,163,0.000976
231,142,0.001245
232,165,0.000882
233,183,0.001164
234,106,0.001593
235,97,0.001643
236,183,0.000936
237,144,0.001090
238,84,0.001587
239,57,0.002698
240,218,0.000648
241,194,0.000618
242,223,0.000751
243,212,0.000815
244,216,0.000739
245,206,0.000912
246,161,0.000974
247,132,0.001367
248,188,0.001007
249,126,0.001665
250,89,0.002317
251,41,0.002232
252,98,0.001376
253,96,0.001490
254,110,0.002674
255,81,0.001835
256,76,0.001867
257,50,0.002804
258,21,0.011335
259,20,0.010526
260,142,0.000994
261,214,0.000878
262,130,0.001363
263,187,0.001215
264,303,0.000604
265,286,0.000515
266,408,0.000441
267,353,0.000484
268,317,0.000559
269,189,0.000745
270,270,0.000738
271,186,0.001015
272,245,0.000743
273,146,0.000787
274,132,0.001228
275,101,0.001680
276,104,0.001963
277,127,0.001516
278,116,0.003413
279,85,0.002387
280,97,0.002108
281,93,0.003581
282,79,0.003541
283,35,0.005740
284,54,0.003892
285,36,0.010792
286,60,0.009948
287,12,0.024806
288,282,0.000467
289,221,0.000675
290,233,0.000567
291,213,0.001023
292,177,0.001017
293,136,0.001456
294,94,0.003140
295,20,0.008801
296,163,0.000960
297,137,0.001383
298,121,0.001518
299,101,0.002636
300,145,0.001625
301,67,0.002782
302,37,0.004441
303,40,0.008654
304,477,0.000450
305,288,0.000779
306,250,0.000672
307,185,0.000975
308,187,0.001193
309,120,0.002183
