codeword,minDistortion
3,0.044844
3,0.061048
3,0.088992
3,0.067827
3,0.089485
2,0.074536
2,0.117132
3,0.080404
2,0.108100
3,0.065804
3,0.077025
3,0.084389
3,0.100527
3,0.071159
3,0.058322
3,0.052828
3,0.083146
3,0.099163
3,0.079112
3,0.073281
3,0.088373
3,0.060726
3,0.060668
3,0.089050
3,0.096508
3,0.066585
3,0.053123
3,0.052494
3,0.079746
3,0.109628
2,0.093684
3,0.059550
3,0.064072
3,0.067786
3,0.060193
3,0.091487
3,0.076012
3,0.054188
3,0.064419
3,0.093677
3,0.076868
2,0.055192
3,0.080638
3,0.075665
3,0.088302
2,0.084336
3,0.045878
3,0.051739
3,0.080287
3,0.078832
3,0.053128
3,0.066234
3,0.100176
3,0.080379
3,0.074877
3,0.079578
2,0.098075
3,0.042357
3,0.049474
3,0.074596
2,0.091208
3,0.060608
3,0.076606
3,0.064660
3,0.052960
2,0.074123
3,0.067690
3,0.089962
3,0.061798
3,0.064425
3,0.091672
3,0.062160
3,0.076317
3,0.088363
2,0.093324
3,0.083845
3,0.086916
3,0.081438
2,0.106085
2,0.077369
3,0.063021
3,0.056615
3,0.074583
2,0.088446
3,0.096124
3,0.060303
3,0.052066
3,0.123059
3,0.083627
3,0.044238
3,0.096258
3,0.066401
3,0.064646
3,0.067700
3,0.053942
3,0.069830
3,0.056214
3,0.080216
3,0.087624
3,0.073866
3,0.071349
3,0.061231
3,0.084798
2,0.089964
3,0.053835
3,0.081739
3,0.082976
3,0.056550
3,0.047275
3,0.349384
3,0.577318
1,0.437969
0,0.661410
0,0.662754
3,0.493354
3,0.387689
3,0.188289
3,0.221520
3,0.444544
0,0.702613
0,0.905427
0,0.971362
0,0.869833
3,0.488168
3,0.506684
3,0.845038
3,0.902271
3,0.781270
3,0.906356
1,1.229213
1,1.314574
3,1.500973
3,1.301158
3,1.402188
1,0.902584
3,0.572089
3,0.881858
0,1.185665
0,1.103663
3,0.616382
3,0.402067
3,0.435267
3,0.322472
3,0.371869
3,0.198012
3,0.500581
0,0.942381
0,1.139837
0,1.381284
0,1.751159
0,1.017320
0,0.729546
0,0.825659
0,0.589894
0,0.384626
3,0.154832
3,0.073772
3,0.064263
3,0.059869
3,0.107792
3,0.094941
3,0.102415
3,0.082913
3,0.060204
3,0.121094
2,0.118577
2,0.076339
2,0.093142
3,0.101344
3,0.061378
3,0.077916
3,0.068394
3,0.109030
3,0.088572
2,0.101557
2,0.098017
2,0.083444
2,0.081298
2,0.124270
2,0.175537
2,0.159120
2,0.212819
2,0.312949
