index,cardinality,distortion
0,400,0.145349
1,742,0.115833
2,618,0.127048
3,379,0.198089
4,578,0.176658
5,573,0.162568
6,618,0.140710
7,576,0.155555
8,667,0.134920
9,1210,0.095081
10,1065,0.112099
11,1073,0.114735
12,665,0.128169
13,679,0.123921
14,842,0.100484
15,706,0.110632
16,942,0.109790
17,1158,0.109142
18,928,0.140813
19,625,0.184008
20,974,0.132848
21,491,0.210275
22,810,0.141074
23,503,0.198031
24,271,0.187628
25,291,0.202425
26,265,0.268256
27,300,0.217431
28,675,0.147093
29,576,0.169267
30,644,0.145772
31,398,0.167352
32,886,0.109187
33,683,0.144935
34,617,0.163613
35,1218,0.114126
36,420,0.205572
37,478,0.197606
38,1501,0.111900
39,1043,0.133528
40,1236,0.129007
41,796,0.144112
42,1282,0.137924
43,1059,0.135510
44,172,0.280850
45,190,0.332204
46,299,0.293675
47,601,0.210712
48,194,0.275319
49,206,0.331179
50,278,0.294823
51,152,0.304594
52,288,0.249679
53,307,0.261610
54,134,0.432732
55,244,0.322650
56,695,0.144438
57,667,0.147624
58,859,0.139397
59,671,0.161419
60,472,0.179955
61,619,0.174535
62,436,0.163898
63,261,0.200769
64,252,0.267069
65,170,0.330029
66,153,0.284213
67,81,0.316200
68,575,0.164764
69,256,0.241422
70,108,0.266481
71,151,0.237936
72,154,0.221556
73,271,0.205243
74,518,0.169500
75,195,0.227799
76,652,0.121874
77,790,0.118203
78,233,0.187969
79,220,0.219978
80,322,0.160389
81,280,0.205335
82,396,0.216220
83,179,0.233756
84,159,0.220942
85,223,0.254554
86,239,0.202152
87,243,0.225072
88,126,0.306381
89,153,0.240196
90,587,0.134534
91,202,0.226788
92,144,0.239734
93,147,0.278825
94,160,0.242469
95,71,0.299532
96,199,0.271559
97,241,0.270000
98,253,0.231919
99,175,0.226485
100,199,0.232378
101,160,0.198173
102,204,0.214030
103,148,0.283978
104,138,0.308601
105,93,0.366814
106,237,0.246188
107,230,0.297620
108,110,0.298735
109,128,0.255751
110,196,0.249885
111,98,0.229557
112,191,0.263572
113,207,0.239497
114,89,0.303568
115,212,0.209244
116,151,0.224823
117,185,0.219914
118,245,0.223763
119,168,0.261466
120,288,0.231771
121,250,0.193756
122,138,0.284387
123,239,0.285747
124,175,0.298478
125,182,0.259181
126,165,0.338591
127,145,0.265361
128,2191,0.075612
129,2483,0.069055
130,1000,0.090444
131,1187,0.089463
132,408,0.220843
133,1099,0.134441
134,2457,0.090140
135,1214,0.125936
136,2724,0.080555
137,3568,0.068287
138,2366,0.074726
139,961,0.100727
140,1880,0.082779
141,1379,0.106041
142,1285,0.121663
143,1133,0.130267
144,739,0.099867
145,756,0.119078
146,1033,0.087508
147,764,0.107896
148,518,0.094158
149,736,0.102473
150,1448,0.072515
151,892,0.091125
152,2443,0.073705
153,1994,0.079425
154,3260,0.060610
155,1298,0.092266
156,651,0.138292
157,1101,0.100436
158,1014,0.088752
159,653,0.133637
160,587,0.100774
161,1312,0.078237
162,689,0.087338
163,189,0.263463
164,331,0.193212
165,279,0.210894
166,1385,0.085930
167,1252,0.088721
168,127,0.269435
169,308,0.210505
170,121,0.299094
171,181,0.293428
172,170,0.268227
173,208,0.238194
174,160,0.241939
175,176,0.254596
176,3117,0.061808
177,3399,0.063510
178,5610,0.052054
179,5419,0.051576
180,1377,0.073900
181,2679,0.058883
182,2675,0.061563
183,2049,0.063866
184,4935,0.054366
185,5464,0.051373
186,5599,0.053042
187,4021,0.059606
188,2859,0.074103
189,1993,0.095228
190,816,0.160270
191,1061,0.167622
192,746,0.132476
193,1921,0.083989
194,2126,0.071754
195,3774,0.056457
196,3326,0.058940
197,3652,0.059308
198,2483,0.068737
199,2840,0.065971
200,932,0.111501
201,707,0.125888
202,423,0.143558
203,602,0.132848
204,652,0.114047
205,681,0.122511
206,508,0.155824
207,210,0.203271
208,52,0.309554
209,28,0.259756
210,89,0.278388
211,107,0.265393
212,463,0.153808
213,415,0.172995
214,560,0.127336
215,541,0.148760
216,458,0.128710
217,606,0.145358
218,529,0.141959
219,467,0.139122
220,654,0.164691
221,482,0.176885
222,834,0.121076
223,565,0.160293
224,491,0.200150
225,440,0.221811
226,568,0.181180
227,438,0.297200
228,1011,0.111064
229,1151,0.102563
230,892,0.140890
231,230,0.304871
232,4134,0.052771
233,5513,0.053542
234,3230,0.057472
235,2202,0.070797
236,3379,0.061203
237,4444,0.053076
238,3270,0.057519
239,2567,0.059666
240,1539,0.073576
241,1849,0.066551
242,3390,0.056406
243,3961,0.052089
244,1803,0.064341
245,2282,0.060171
246,3078,0.055833
247,2443,0.062613
248,3800,0.055011
249,4305,0.053626
250,4372,0.056152
251,2766,0.060763
252,1864,0.070601
253,1497,0.087225
254,639,0.149864
255,1067,0.126317
