# data/codebooks/_/eps_0.0005_M_0256.cbook:
# P=36  size=256  className='_'
k1,k2
-0.838984,-0.0193346
-0.642028,0.0651802
-0.660389,0.124367
-0.771902,0.256772
-0.685705,0.33456
-0.715702,0.401878
-0.744202,0.221919
-0.678644,0.325143
-0.429187,0.11656
-0.422163,0.225037
-0.507967,0.298159
-0.593907,0.284777
-0.376965,0.1308
-0.397478,0.16379
-0.573795,0.156196
-0.639432,0.164915
-0.520417,0.240233
-0.50012,0.264977
-0.508031,0.450693
-0.592241,0.575023
-0.559465,0.374485
-0.587745,0.410148
-0.591893,0.324261
-0.653459,0.445243
-0.822923,0.211597
-0.750888,0.458603
-0.69241,0.471717
-0.746649,0.448481
-0.612721,0.513764
-0.774056,0.433716
-0.65691,0.340216
-0.719245,0.55517
-0.365765,0.152236
-0.362869,0.207255
-0.392121,0.263703
-0.351009,0.287179
-0.483397,0.324794
-0.523046,0.462604
-0.488724,0.319372
-0.597547,0.417848
-0.238221,0.36864
-0.335655,0.384768
-0.429888,0.421075
-0.488394,0.396754
-0.491737,0.603511
-0.532012,0.565145
-0.439879,0.616774
-0.495273,0.633309
-0.669579,0.244757
-0.735466,0.194872
-0.756386,0.270199
-0.662607,0.37657
-0.76183,0.214382
-0.699741,0.275367
-0.771448,0.256103
-0.541664,0.463768
-0.544197,0.400705
-0.594689,0.48673
-0.466866,0.408155
-0.561332,0.535602
-0.494117,0.35072
-0.551644,0.482335
-0.644413,0.32437
-0.618048,0.478815
-0.526384,0.318933
-0.464257,0.489285
-0.513157,0.534036
-0.512548,0.552767
-0.4174,0.282005
-0.559357,0.586257
-0.610561,0.82126
-0.480274,0.627617
-0.519008,0.672514
-0.598512,0.709347
-0.516722,0.368261
-0.627296,0.71772
-0.288144,0.266694
-0.424104,0.323598
-0.605896,0.713419
-0.534471,0.626768
-0.64728,0.702587
-0.614692,0.683949
-0.576707,0.604526
-0.599582,0.663887
-0.489552,0.480109
-0.601387,0.633436
-0.553314,0.479464
-0.483204,0.544545
-0.599814,0.448893
-0.516916,0.429163
-0.409729,0.251725
-0.481696,0.476176
-0.395277,0.364241
-0.451135,0.504279
-0.538692,0.363184
-0.543156,0.65586
-0.435342,0.550717
-0.439319,0.405807
-0.51884,0.632835
-0.413396,0.575743
-0.519956,0.555102
-0.549072,0.650901
-0.545565,0.687906
-0.477506,0.642656
-0.476516,0.512119
-0.488332,0.499461
-0.574268,0.49208
-0.537261,0.499179
-0.672249,0.601173
-0.544052,0.591591
-0.553936,0.612725
-0.565248,0.674062
-0.557137,0.548338
-0.484439,0.446488
-0.50808,0.491437
-0.491451,0.45996
-0.604075,0.434602
-0.524784,0.555397
-0.520455,0.486384
-0.522167,0.409291
-0.508111,0.45399
-0.557639,0.616524
-0.513378,0.492331
-0.454014,0.571586
-0.271797,0.35953
-0.480069,0.597638
-0.304306,0.431072
-0.454245,0.576874
-0.164659,0.175237
-0.228842,0.15873
-0.322977,0.0803341
-0.366916,0.20405
0.122156,0.24584
-0.0847982,0.283965
-0.125524,0.259295
-0.139318,0.327469
-0.102382,0.155139
-0.193915,0.179159
-0.223325,0.141771
-0.337477,0.0828465
-0.228191,0.221955
-0.257698,0.255207
-0.222016,0.311147
-0.241453,0.369375
-0.67758,-0.0298722
-0.737516,0.155876
-0.444669,0.104702
-0.607906,0.0377632
-0.412974,0.0578241
-0.235371,0.189296
-0.261191,0.223438
-0.24287,0.205416
-0.255243,0.272606
-0.288576,0.276926
-0.230769,0.258001
-0.353961,0.229933
-0.583571,0.102574
-0.442303,0.192531
-0.451445,0.111055
-0.660022,0.115524
-0.366091,0.0667892
-0.264974,0.175408
-0.365619,0.132427
-0.152946,0.314706
-0.0760165,0.0643492
