# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.89892,0.0382269,-0.278166
-0.80792,-0.0560396,-0.356676
-0.769479,0.0129691,-0.264769
-0.826899,0.242265,-0.12146
-0.73111,-0.0545918,-0.381357
-0.601436,0.0383116,-0.328223
-0.516109,0.165212,-0.20731
-0.694027,-0.00170164,-0.337049
-0.55227,0.0635755,-0.28738
-0.636463,0.00520029,-0.320996
-0.662807,0.144428,-0.216543
-0.758322,0.304543,-0.138566
-0.695969,0.187856,-0.243722
-0.660343,0.223105,-0.225892
-0.790811,0.246374,-0.135038
-0.777128,0.3857,-0.201191
-0.69642,0.286321,-0.311906
-0.718948,0.309196,-0.21129
-0.644628,0.429118,-0.177039
-0.687327,0.442294,-0.22158
-0.771307,0.341244,-0.162516
-0.71202,0.479714,-0.0596832
-0.636746,0.36659,-0.111595
-0.703853,0.445614,-0.0586112
-0.662616,0.169233,-0.260997
-0.76128,0.174885,-0.240375
-0.68581,0.371034,-0.139822
-0.779534,0.281619,-0.128334
-0.635976,0.236214,-0.00317439
-0.655481,0.303466,-0.0871589
-0.623226,0.345002,-0.0983875
-0.675647,0.353811,-0.0875591
-0.273808,0.112294,-0.195539
-0.417103,0.0662727,-0.186833
-0.516131,0.125983,-0.168829
-0.560983,0.133922,-0.163404
-0.311017,0.222643,-0.176385
-0.39724,0.239449,-0.161097
-0.464195,0.206056,-0.169742
-0.515387,0.274396,-0.171619
-0.531654,0.20865,-0.154112
-0.560055,0.267337,-0.140946
-0.474105,0.317744,-0.116172
-0.521064,0.412103,-0.105519
-0.59019,0.281936,-0.106962
-0.660376,0.361287,-0.101868
-0.581971,0.326073,-0.0482856
-0.618704,0.35251,-0.047507
-0.401162,0.116375,-0.224457
-0.458107,0.136802,-0.214123
-0.286633,0.203397,-0.200705
-0.329847,0.257734,-0.15415
-0.212979,0.262578,-0.191371
-0.247196,0.244369,-0.208882
-0.395343,0.122295,-0.171572
-0.526066,0.148362,-0.242731
-0.446829,0.169893,-0.219351
-0.464898,0.240083,-0.172794
-0.595628,0.145835,-0.219676
-0.655856,0.177498,-0.22318
-0.486859,0.115973,-0.252637
-0.587019,0.115114,-0.236152
-0.672243,0.186832,-0.212942
-0.72226,0.311583,-0.113925
-0.522056,0.179101,-0.209161
-0.503534,0.182578,-0.215791
-0.561902,0.297592,-0.0967216
-0.558376,0.260511,-0.143095
-0.412386,0.310686,-0.0939707
-0.530022,0.37097,-0.0687538
-0.492655,0.244014,-0.157696
-0.546516,0.312513,-0.11912
-0.498692,0.357711,-0.123783
-0.509078,0.448574,-0.0852131
-0.483644,0.397934,-0.235281
-0.552133,0.58463,-0.111417
-0.566479,0.542833,0.00555201
-0.604971,0.569483,0.0318489
-0.574912,0.454572,0.00608486
-0.597029,0.624002,0.00603924
-0.524187,0.362008,-0.0886431
-0.604623,0.318731,-0.208652
-0.562551,0.42587,-0.129918
-0.627479,0.48958,-0.00405041
-0.611514,0.375609,-0.241035
-0.478451,0.405133,-0.207346
-0.60704,0.485643,-0.155993
-0.63907,0.471897,-0.12589
-0.509001,0.32399,-0.0909287
-0.548722,0.480585,-0.0607957
-0.64961,0.295568,-0.165973
-0.587119,0.378176,-0.255121
-0.560222,0.292087,-0.156235
-0.681868,0.296981,-0.186486
-0.593321,0.494931,-0.0311208
-0.612604,0.494766,-0.0969783
-0.856651,0.197368,-0.355439
-0.788295,0.445119,-0.447523
-0.789813,0.0548052,-0.308953
-0.799661,0.270202,-0.229267
-0.802341,0.278178,-0.206788
-0.763442,0.358846,-0.195968
-0.77849,0.498207,-0.282563
-0.718839,0.533774,-0.0527656
-0.654899,0.373278,-0.297771
-0.63386,0.394645,-0.419227
-0.624228,0.557559,0.0223639
-0.743014,0.48333,-0.308426
-0.691539,0.301024,-0.145359
-0.761701,0.544551,0.0666997
-0.763824,0.23775,-0.191216
-0.741142,0.523197,0.0724671
-0.603967,0.418783,-0.03942
-0.599956,0.521155,-0.0180302
-0.644701,0.569141,-0.00661007
-0.676337,0.597765,-0.0222855
-0.735818,0.365787,-0.0861015
-0.711341,0.486576,-0.197006
-0.813979,0.484981,0.0284442
-0.786536,0.311233,-0.0763705
-0.524594,0.241708,-0.103108
-0.562977,0.342765,-0.143268
-0.683314,0.39574,-0.0543317
-0.674924,0.397963,-0.167381
-0.776948,0.509777,-0.0379376
-0.711753,0.620173,-0.167609
-0.684167,0.523181,-0.131322
-0.733911,0.564542,-0.0902337
-0.211755,0.179141,-0.138977
-0.304081,0.153983,-0.130126
-0.422078,0.132532,-0.10713
-0.453042,0.194221,-0.132963
-0.316757,0.131393,-0.186961
-0.270119,0.280635,-0.118329
-0.349276,0.263427,-0.122361
-0.480027,0.148198,-0.236106
