# data/codebooks/_/eps_0.0005_M_0512.cbook:
# P=36  size=512  className='_'
k1,k2
-0.734361,-0.0876347
-0.700741,-0.0327494
-0.522192,0.0623483
-0.641078,-0.0319433
-0.71736,0.00176415
-0.583399,0.0725375
-0.614579,0.127385
-0.680251,0.0928816
-0.433396,0.107135
-0.433309,0.156631
-0.468541,0.100043
-0.558329,0.0255261
-0.480685,0.0909712
-0.561247,0.20556
-0.592765,0.0244204
-0.667412,0.0156247
-0.8197,-0.0343292
-0.750114,-0.00147901
-0.625434,0.0699832
-0.653619,0.113591
-0.750052,0.231702
-0.750509,0.357502
-0.740917,0.293415
-0.767597,0.28129
-0.815625,0.206416
-0.835166,0.179322
-0.661054,0.150894
-0.794516,0.124223
-0.738371,0.296015
-0.729322,0.321267
-0.761426,0.439562
-0.753336,0.475838
-0.776757,-0.0648364
-0.791719,0.109793
-0.641646,0.0698602
-0.708361,0.0371149
-0.822094,0.143039
-0.677257,0.199106
-0.663291,0.062753
-0.664302,0.184331
-0.3939,0.146547
-0.367929,0.163474
-0.218438,0.271449
-0.372753,0.189701
-0.336582,0.184519
-0.418473,0.174338
-0.449134,0.131636
-0.38644,0.217594
-0.606805,0.180027
-0.636098,0.243432
-0.626377,0.203512
-0.604584,0.183603
-0.581466,0.219722
-0.453044,0.343402
-0.604848,0.454211
-0.639624,0.490859
-0.47509,0.219058
-0.472019,0.338687
-0.603336,0.245276
-0.509982,0.272061
-0.507952,0.290792
-0.712594,0.242608
-0.529134,0.41232
-0.657989,0.391273
-0.884424,0.168474
-0.767662,0.195865
-0.878951,0.187751
-0.811257,0.403672
-0.825453,-0.0215444
-0.541651,0.105689
-0.509735,0.149086
-0.797415,0.108358
-0.788883,0.445796
-0.780091,0.367256
-0.79045,0.395782
-0.782338,0.511058
-0.628178,0.547704
-0.712769,0.532083
-0.731394,0.358573
-0.729354,0.54572
-0.656323,0.289515
-0.633327,0.419912
-0.640812,0.375236
-0.605715,0.456872
-0.659801,0.401051
-0.659121,0.418674
-0.692075,0.453538
-0.702455,0.631259
-0.479139,0.412013
-0.575474,0.384746
-0.658358,0.20438
-0.641562,0.328535
-0.486137,0.466748
-0.454829,0.385098
-0.592433,0.292497
-0.619494,0.390313
-0.727638,0.188921
-0.710551,0.256629
-0.749659,0.343833
-0.744478,0.331984
-0.68877,0.419771
-0.744012,0.568659
-0.802869,0.282734
-0.754247,0.33217
-0.582465,0.511422
-0.473632,0.392143
-0.540004,0.505883
-0.560309,0.51709
-0.522968,0.364473
-0.510639,0.507465
-0.604556,0.45061
-0.544204,0.372379
-0.769998,0.125534
-0.773716,0.253105
