index,cardinality,distortion
0,25,0.054384
1,36,0.051941
2,45,0.055370
3,44,0.061448
4,34,0.060237
5,47,0.059641
6,46,0.057008
7,63,0.065058
8,33,0.068261
9,28,0.084140
10,43,0.068188
11,50,0.066421
12,39,0.066953
13,36,0.083160
14,41,0.067891
15,24,0.071074
16,48,0.058701
17,49,0.058050
18,53,0.057213
19,38,0.091198
20,61,0.061613
21,76,0.065222
22,73,0.066530
23,54,0.064330
24,49,0.072031
25,45,0.073631
26,14,0.104593
27,58,0.082602
28,58,0.063174
29,44,0.063307
30,27,0.072372
31,27,0.071677
32,17,0.086221
33,22,0.079598
34,34,0.085536
35,33,0.089580
36,39,0.092622
37,39,0.087042
38,36,0.090614
39,19,0.099695
40,36,0.128872
41,34,0.105953
42,38,0.115947
43,34,0.096365
44,35,0.106302
45,26,0.112071
46,35,0.104363
47,28,0.128114
48,24,0.111713
49,24,0.110171
50,11,0.137502
51,5,0.117456
52,34,0.087975
53,22,0.131052
54,32,0.104920
55,24,0.127083
56,13,0.131434
57,28,0.153981
58,34,0.103828
59,16,0.154980
60,14,0.124109
61,20,0.115064
62,22,0.145060
63,13,0.146099
64,20,0.110708
65,15,0.160218
66,16,0.127480
67,18,0.182358
68,8,0.175634
69,6,0.115432
70,16,0.169444
71,12,0.121096
72,18,0.153059
73,15,0.200120
74,28,0.122504
75,19,0.185084
76,18,0.150636
77,26,0.133326
78,17,0.172904
79,14,0.167613
80,50,0.067321
81,18,0.165282
82,72,0.057859
83,47,0.083329
84,86,0.056119
85,112,0.057813
86,60,0.061143
87,21,0.142381
88,77,0.068673
89,53,0.071815
90,42,0.075391
91,22,0.115686
92,24,0.121513
93,41,0.076996
94,43,0.064886
95,37,0.090535
96,15,0.190652
97,12,0.147482
98,11,0.207713
99,9,0.143597
100,5,0.144645
101,5,0.177724
102,4,0.192012
103,5,0.212914
104,14,0.186802
105,16,0.187657
106,8,0.116603
107,16,0.184784
108,14,0.189132
109,13,0.167940
110,14,0.169670
111,13,0.176696
112,5,0.136814
113,8,0.266295
114,12,0.207932
115,16,0.248736
116,8,0.192327
117,10,0.283874
118,15,0.217432
119,15,0.242925
120,17,0.122576
121,16,0.167035
122,24,0.157246
123,13,0.144086
124,23,0.179762
125,10,0.187943
126,9,0.168090
127,11,0.171690
128,13,0.069671
129,19,0.106021
130,20,0.109342
131,18,0.111740
132,11,0.088999
133,11,0.081961
134,18,0.109987
135,18,0.111227
136,22,0.076600
137,16,0.063291
138,41,0.072092
139,32,0.079349
140,49,0.068797
141,30,0.080437
142,32,0.105388
143,18,0.124878
144,20,0.104323
145,9,0.118222
146,17,0.138370
147,12,0.116885
148,14,0.103849
149,25,0.138006
150,18,0.104768
151,10,0.069823
152,12,0.089192
153,11,0.117927
154,9,0.112293
155,7,0.086671
156,20,0.124153
157,34,0.114201
158,21,0.142003
159,14,0.145847
160,21,0.108449
161,16,0.129015
162,51,0.114780
163,27,0.137585
164,34,0.115465
165,30,0.141862
166,17,0.113495
167,36,0.160760
168,38,0.119207
169,23,0.131771
170,58,0.115125
171,38,0.118234
172,10,0.165426
173,15,0.123428
174,9,0.126733
175,7,0.206725
176,33,0.127984
177,25,0.155907
178,29,0.105648
179,34,0.115106
180,33,0.125948
181,27,0.106615
182,42,0.111165
183,26,0.126314
184,27,0.128527
185,16,0.123456
186,30,0.130523
187,10,0.082895
188,29,0.136527
189,35,0.138999
190,31,0.148827
191,21,0.167441
192,24,0.075474
193,31,0.091602
194,27,0.109181
195,30,0.117822
196,43,0.091756
197,28,0.106015
198,27,0.106415
199,25,0.101400
200,20,0.078020
201,33,0.109557
202,20,0.116820
203,21,0.125820
204,28,0.086319
205,23,0.101563
206,30,0.114086
207,30,0.116549
208,15,0.096280
209,20,0.087879
210,20,0.096716
211,17,0.101200
212,13,0.100591
213,15,0.092564
214,16,0.131781
215,11,0.140918
216,17,0.140190
217,19,0.121037
218,10,0.094654
219,7,0.060746
220,18,0.139057
221,14,0.115249
222,16,0.122669
223,20,0.132269
224,27,0.083846
225,27,0.101024
226,21,0.095601
227,16,0.115329
228,30,0.120754
229,34,0.126748
230,25,0.118029
231,18,0.103168
232,13,0.073978
233,10,0.050842
234,15,0.086669
235,18,0.080970
236,21,0.123645
237,28,0.104086
238,18,0.101273
239,11,0.094221
240,48,0.113264
241,54,0.108118
242,29,0.145006
243,25,0.157531
244,16,0.094129
245,15,0.118805
246,22,0.109313
247,21,0.107521
248,30,0.110807
249,25,0.097697
250,23,0.119071
251,12,0.122593
252,34,0.119181
253,25,0.113091
254,5,0.048266
255,4,0.069934
256,5,0.092756
257,9,0.106131
258,16,0.160838
259,21,0.168754
260,14,0.101375
261,13,0.143597
262,16,0.116351
263,13,0.139360
264,11,0.185154
265,8,0.108578
266,13,0.152579
267,14,0.123045
268,16,0.124931
269,8,0.176061
270,11,0.161864
271,11,0.181160
272,14,0.079529
273,26,0.082803
274,17,0.102552
275,19,0.101197
276,22,0.103421
277,13,0.114458
278,4,0.182736
279,7,0.161389
280,17,0.131766
281,9,0.131272
282,10,0.086272
283,10,0.141773
284,7,0.097955
285,8,0.091591
286,15,0.122218
287,7,0.065839
288,26,0.070376
289,30,0.103013
290,12,0.105882
291,14,0.143303
292,12,0.124686
293,16,0.186958
294,5,0.141789
295,5,0.180066
