# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.76091,-0.0986296,-0.407168
-0.719444,-0.0847496,-0.43053
-0.70288,-0.0588205,-0.38793
-0.706682,-0.00428451,-0.376763
-0.537687,0.0408431,-0.333315
-0.542176,0.0610915,-0.350283
-0.609534,-8.40823e-05,-0.372286
-0.666137,-0.0554871,-0.393451
-0.718549,0.0126958,-0.302881
-0.712516,-0.00971709,-0.296058
-0.59422,0.0686368,-0.307244
-0.537211,0.100794,-0.279988
-0.550653,0.118546,-0.278992
-0.655021,0.155934,-0.269809
-0.687916,0.0977525,-0.194235
-0.718804,0.0891115,-0.233755
-0.424588,0.108023,-0.314046
-0.454133,0.0926767,-0.32587
-0.454615,0.0948413,-0.312487
-0.457766,0.235311,-0.25724
-0.469418,0.110956,-0.305801
-0.477419,0.0985894,-0.308768
-0.519589,0.0389525,-0.359106
-0.589084,0.00175875,-0.390301
-0.437867,0.0863182,-0.292469
-0.533779,0.120254,-0.286413
-0.499739,0.298056,-0.182209
-0.588457,0.15815,-0.235478
-0.65835,-0.0152011,-0.353636
-0.610168,0.0161648,-0.336396
-0.628376,0.0271728,-0.296231
-0.713128,0.00164551,-0.327546
-0.814318,-0.0701523,-0.361351
-0.829123,0.01034,-0.303432
-0.704767,-0.00912801,-0.338734
-0.788073,0.0145128,-0.304197
-0.629856,0.0998891,-0.250863
-0.647944,0.062279,-0.303723
-0.628593,0.116733,-0.297904
-0.669052,0.092508,-0.488888
-0.754072,0.24415,-0.250736
-0.764695,0.311971,-0.20498
-0.759099,0.306584,-0.180083
-0.738319,0.404095,-0.185265
-0.71617,0.287717,-0.181257
-0.756959,0.280372,-0.246587
-0.721452,0.266291,-0.0942086
-0.771919,0.299132,-0.154452
-0.829096,0.169315,-0.19895
-0.832441,0.22692,-0.117287
-0.806383,0.229242,-0.1067
-0.882421,0.242791,-0.0153492
-0.617027,0.126478,-0.207473
-0.698841,0.200537,-0.150192
-0.767127,0.101019,-0.235835
-0.808374,0.107869,-0.235815
-0.772729,0.278714,-0.224033
-0.725051,0.342635,-0.19149
-0.713663,0.299976,-0.159527
-0.733366,0.362379,-0.146375
-0.687197,0.438066,-0.197324
-0.790621,0.488986,-0.155472
-0.70401,0.507374,0.0582393
-0.805509,0.413363,-0.106334
-0.731588,-0.0312483,-0.343253
-0.80176,-0.11416,-0.363663
-0.808526,0.0782711,-0.370669
-0.781741,0.129654,-0.423376
-0.585043,0.117771,-0.413975
-0.611379,0.0855712,-0.530081
-0.669425,0.0648459,-0.59995
-0.770491,-0.00196443,-0.473594
-0.844098,0.243559,-0.163331
-0.824416,0.098982,-0.377515
-0.701565,0.162234,-0.275972
-0.639619,0.256981,-0.35671
-0.680624,0.0651579,-0.334858
-0.667253,0.0680575,-0.283606
-0.691908,0.150432,-0.40895
-0.643577,0.219838,-0.419457
-0.355324,0.178614,-0.25741
-0.46624,0.0880471,-0.306905
-0.296101,0.199133,-0.25431
-0.4346,0.140216,-0.280246
-0.204411,0.285362,-0.171163
-0.235075,0.276579,-0.17736
-0.334468,0.180179,-0.254036
-0.445724,0.196505,-0.361459
-0.289375,0.227269,-0.216845
-0.400519,0.135148,-0.276838
-0.410314,0.149467,-0.240092
-0.424088,0.216533,-0.235006
-0.505465,0.159065,-0.220012
-0.44526,0.130372,-0.324905
-0.355577,0.22373,-0.201371
-0.403244,0.215138,-0.18324
-0.59175,0.202879,-0.392095
-0.680359,0.157257,-0.237434
-0.647601,0.233088,-0.382248
-0.601127,0.264433,-0.284895
-0.625549,0.243939,-0.218932
-0.627107,0.167738,-0.261556
-0.612475,0.266224,-0.210335
-0.599023,0.126993,-0.264184
-0.627607,0.186186,-0.421104
-0.542922,0.254956,-0.500177
-0.4236,0.370657,-0.403545
-0.457759,0.346421,-0.371732
-0.628887,0.416281,-0.32381
-0.545046,0.514921,-0.24108
-0.664545,0.387316,-0.321374
-0.646871,0.580292,-0.26309
-0.472541,0.186073,-0.51447
-0.476569,0.238308,-0.42544
-0.486689,0.360736,-0.198574
-0.467632,0.334006,-0.247886
-0.590864,0.272405,-0.334776
-0.648041,0.226315,-0.335862
-0.461534,0.269931,-0.438236
-0.563715,0.244348,-0.444817
-0.471948,0.265956,-0.212774
-0.525503,0.324201,-0.244755
-0.745668,0.272534,-0.203573
-0.70445,0.224489,-0.279499
-0.543796,0.401348,-0.207573
-0.507231,0.436103,-0.267483
-0.639267,0.342909,-0.282714
-0.679407,0.44153,-0.272474
-0.906442,0.160359,-0.357537
-0.855171,0.22081,-0.381627
-0.769959,0.161443,-0.328863
-0.765236,0.231346,-0.297104
-0.826248,0.274111,-0.239419
-0.904783,0.122028,-0.268679
-0.803412,0.434637,-0.252808
-0.784912,0.407425,-0.247762
-0.785501,-0.0285101,-0.368752
-0.873322,0.0101194,-0.314591
-0.516434,0.0995632,-0.340175
-0.576866,0.101802,-0.310923
-0.433769,0.181521,-0.201772
-0.667004,0.0711833,-0.335442
-0.732752,0.11916,-0.293116
