codeword,minDistortion
2,0.009020
2,0.007430
2,0.001969
2,0.001783
2,0.009840
2,0.012177
2,0.005684
2,0.000581
2,0.008121
2,0.019985
2,0.003805
2,0.006004
2,0.013065
2,0.014369
2,0.013165
2,0.005811
2,0.006160
2,0.003283
2,0.001994
2,0.017797
2,0.016385
3,0.049770
2,0.061567
2,0.050961
2,0.079561
2,0.084109
2,0.074159
2,0.093468
3,0.117805
3,0.099981
3,0.084269
3,0.083327
3,0.100158
3,0.091170
3,0.048934
3,0.011844
3,0.018788
3,0.019908
3,0.021709
3,0.016593
3,0.032891
3,0.054690
3,0.036917
3,0.038224
2,0.024748
2,0.018394
2,0.019051
2,0.016715
2,0.006092
2,0.005304
2,0.010612
2,0.001826
2,0.006290
2,0.004349
2,0.006536
2,0.002840
2,0.002014
2,0.002967
2,0.000089
2,0.003543
2,0.012141
2,0.023435
2,0.017350
2,0.008157
2,0.006887
2,0.004108
2,0.008494
2,0.013675
2,0.017862
2,0.010856
2,0.007716
2,0.011242
2,0.011416
2,0.007329
2,0.016184
2,0.009231
2,0.004563
2,0.002716
2,0.003577
2,0.003680
2,0.010564
2,0.003963
2,0.017775
2,0.049679
2,0.096973
2,0.118996
2,0.089388
2,0.082671
2,0.082072
2,0.068090
2,0.068671
2,0.055199
2,0.045060
2,0.067069
2,0.104520
2,0.101403
2,0.046174
2,0.086351
2,0.088746
2,0.048180
2,0.048391
2,0.044050
2,0.045704
2,0.035670
2,0.035757
2,0.035240
2,0.043147
2,0.041957
3,0.034772
2,0.029289
2,0.032290
2,0.074590
2,0.067239
2,0.083910
2,0.118124
2,0.135509
2,0.097291
2,0.073637
2,0.054896
2,0.064389
2,0.051354
2,0.058386
2,0.053232
2,0.025424
2,0.016057
2,0.012908
2,0.007204
2,0.013729
2,0.004590
2,0.000789
2,0.001664
2,0.002801
2,0.003812
2,0.013988
2,0.000406
2,0.010939
2,0.005855
2,0.010043
2,0.003505
2,0.003130
2,0.000584
2,0.006310
2,0.003748
2,0.017997
2,0.127600
2,0.257364
2,0.316472
2,0.169266
2,0.151415
2,0.258288
2,0.236997
2,0.446588
2,0.672911
2,0.691470
2,0.596047
2,0.526054
2,0.313619
2,0.189483
2,0.101470
2,0.073839
3,0.054843
3,0.057493
3,0.050320
3,0.053263
3,0.055246
2,0.027313
2,0.028853
