index,cardinality,distortion
0,538,0.000916
1,605,0.000896
2,566,0.000993
3,684,0.000961
4,508,0.000995
5,534,0.000960
6,366,0.001227
7,274,0.001221
8,568,0.001096
9,464,0.001216
10,265,0.001490
11,161,0.003383
12,179,0.002573
13,134,0.003013
14,61,0.005913
15,71,0.005266
16,290,0.001735
17,507,0.001052
18,450,0.001127
19,415,0.001361
20,312,0.001893
21,269,0.002249
22,313,0.001897
23,196,0.002428
24,195,0.002695
25,145,0.002883
26,179,0.002127
27,139,0.003806
28,194,0.002311
29,161,0.002655
30,112,0.004197
31,75,0.006653
32,333,0.001551
33,301,0.001668
34,275,0.002774
35,175,0.003312
36,296,0.001413
37,376,0.001161
38,254,0.001451
39,238,0.002012
40,91,0.006574
41,84,0.009157
42,172,0.003228
43,72,0.007079
44,264,0.001806
45,187,0.002755
46,87,0.004270
47,46,0.009104
48,312,0.001375
49,441,0.001286
50,266,0.002047
51,236,0.001734
52,208,0.002071
53,86,0.003877
54,87,0.002783
55,47,0.008554
56,154,0.002572
57,142,0.002460
58,134,0.002552
59,91,0.002653
60,144,0.004361
61,64,0.004840
62,92,0.005289
63,43,0.006026
64,238,0.004587
65,67,0.008216
66,436,0.001995
67,101,0.005926
68,694,0.000957
69,309,0.002389
70,176,0.004070
71,25,0.027013
72,434,0.001999
73,786,0.000738
74,1471,0.000349
75,1296,0.000499
76,3158,0.000188
77,2539,0.000205
78,1659,0.000304
79,707,0.000688
80,888,0.000731
81,2477,0.000276
82,1560,0.000401
83,2989,0.000269
84,2340,0.000211
85,2961,0.000203
86,2720,0.000214
87,1751,0.000371
88,1013,0.000629
89,1760,0.000282
90,1756,0.000265
91,2220,0.000241
92,1725,0.000261
93,1048,0.000464
94,650,0.000794
95,477,0.001044
96,824,0.000869
97,1583,0.000425
98,1720,0.000375
99,1318,0.000575
100,758,0.000887
101,638,0.000795
102,700,0.000701
103,577,0.000862
104,640,0.000854
105,570,0.000922
106,576,0.000739
107,699,0.000872
108,663,0.000994
109,506,0.001081
110,405,0.001425
111,297,0.001765
112,446,0.001428
113,396,0.001565
114,172,0.003135
115,86,0.006487
116,278,0.002041
117,271,0.001931
118,286,0.002710
119,92,0.008286
120,894,0.000548
121,695,0.000634
122,433,0.000944
123,356,0.001124
124,458,0.000877
125,600,0.000902
126,500,0.001090
127,438,0.001064
