# data/codebooks/_/eps_0.0005_M_0256.cbook:
# P=2  size=256  className='_'
k1,k2
-0.449399,0.375655
-0.481726,0.369736
-0.496181,0.414668
-0.520539,0.432547
-0.53275,0.28146
-0.559649,0.302262
-0.51624,0.384992
-0.544255,0.403381
-0.496449,0.465551
-0.523121,0.490965
-0.541885,0.456422
-0.562423,0.471785
-0.569254,0.514213
-0.594038,0.53984
-0.591372,0.482005
-0.620448,0.497947
-0.56703,0.36316
-0.599904,0.381503
-0.572937,0.420874
-0.600927,0.438977
-0.629267,0.431756
-0.660063,0.416386
-0.681101,0.345601
-0.703399,0.438094
-0.633451,0.210015
-0.658342,0.279323
-0.716245,0.2765
-0.75147,0.23928
-0.744508,0.360823
-0.761918,0.474725
-0.786866,0.331462
-0.824369,0.427428
-0.298441,0.131514
-0.358227,0.146797
-0.354346,0.202099
-0.391525,0.207778
-0.422038,0.166261
-0.465085,0.212856
-0.490092,0.16904
-0.53026,0.169587
-0.391493,0.0897014
-0.45102,0.121947
-0.454128,0.0434266
-0.505405,0.0908081
-0.562492,0.115467
-0.583685,0.182355
-0.623622,0.0794589
-0.670701,0.121302
-0.524513,-0.00245866
-0.578888,0.0113075
-0.633935,-0.0157677
-0.659937,-0.0941498
-0.701416,0.0332909
-0.757891,0.0163674
-0.732471,-0.0667676
-0.792627,-0.0778451
-0.692425,0.193432
-0.733508,0.139659
-0.770547,0.100458
-0.809282,0.0663357
-0.787773,0.182491
-0.836309,0.224106
-0.867126,0.0820566
-0.906225,0.139633
-0.375846,0.436656
-0.405625,0.469847
-0.379255,0.521055
-0.420453,0.545304
-0.373081,0.602562
-0.407483,0.596413
-0.430752,0.636148
-0.447486,0.698846
-0.436598,0.498488
-0.459031,0.540145
-0.473925,0.495112
-0.49051,0.533193
-0.454654,0.592232
-0.491958,0.587912
-0.475497,0.641512
-0.496099,0.680003
-0.393992,0.66843
-0.398474,0.763068
-0.446851,0.781689
-0.44395,0.864722
-0.484772,0.73501
-0.510264,0.755716
-0.500958,0.845915
-0.530758,0.822868
-0.51451,0.627364
-0.545861,0.631399
-0.527531,0.686191
-0.558422,0.688017
-0.545399,0.753846
-0.570614,0.811253
-0.550533,0.884911
-0.582399,0.896441
-0.517747,0.54674
-0.538643,0.582852
-0.545071,0.526508
-0.567539,0.562606
-0.569508,0.615006
-0.58609,0.653762
-0.59889,0.603662
-0.620315,0.560263
-0.650101,0.554627
-0.65353,0.487488
-0.685031,0.533518
-0.71316,0.591894
-0.679632,0.687522
-0.704833,0.665301
-0.714058,0.762717
-0.739674,0.751086
-0.571189,0.728911
-0.590706,0.753793
-0.60373,0.68317
-0.616693,0.730272
-0.630923,0.626364
-0.667468,0.626554
-0.642351,0.689009
-0.659367,0.741525
-0.608228,0.809689
-0.630689,0.788292
-0.654765,0.798307
-0.690062,0.794356
