# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2
-0.168318,0.208431
-0.139776,0.226158
-0.196463,0.320434
-0.197855,0.292028
-0.238074,0.284185
-0.246383,0.288865
-0.222098,0.297134
-0.163716,0.278954
-0.168013,0.213275
-0.261721,0.247692
-0.169591,0.24149
-0.115971,0.271853
-0.086985,0.272591
-0.169618,0.183497
-0.175062,0.189011
-0.214581,0.261273
-0.22431,0.300088
-0.209166,0.295679
-0.1779,0.26013
-0.224976,0.397475
-0.25165,0.344511
-0.291752,0.453769
-0.275435,0.466067
-0.246202,0.47077
-0.177793,0.538636
-0.221464,0.535691
-0.233087,0.517573
-0.252999,0.533435
-0.292652,0.575054
-0.345205,0.587629
-0.329163,0.559837
-0.360513,0.574697
-0.373146,0.597854
-0.358188,0.583145
-0.364503,0.52565
-0.372082,0.429745
-0.325375,0.378147
-0.333162,0.411806
-0.316778,0.36888
-0.338596,0.403172
-0.386927,0.502938
-0.386029,0.543188
-0.316579,0.454489
-0.289584,0.398299
-0.273418,0.341549
-0.258157,0.341168
-0.257872,0.243424
-0.236105,0.213597
-0.223958,0.302544
-0.21684,0.274693
-0.241535,0.297345
-0.198564,0.307149
-0.224819,0.29556
-0.212682,0.278748
-0.225304,0.287592
-0.198738,0.269779
-0.17321,0.258463
-0.170011,0.248613
-0.17281,0.294607
-0.160296,0.244566
-0.239867,0.255112
-0.276184,0.294589
-0.254162,0.247207
-0.226108,0.260982
-0.225442,0.27857
-0.212597,0.284353
-0.223889,0.251967
-0.232742,0.226996
-0.253336,0.240237
-0.22839,0.239926
-0.21326,0.240694
-0.238144,0.259932
-0.243616,0.285104
-0.228964,0.308085
-0.258059,0.306686
-0.235355,0.280519
-0.211321,0.270653
-0.203899,0.315489
-0.193268,0.346562
-0.211704,0.300131
-0.240726,0.311239
-0.20257,0.339098
-0.157063,0.421328
-0.107668,0.480045
-0.106045,0.548621
-0.122124,0.576595
-0.104297,0.538868
-0.136891,0.539821
-0.141235,0.539842
-0.0966916,0.506019
-0.140599,0.52188
-0.160474,0.503985
-0.168815,0.486748
-0.114011,0.512108
-0.104252,0.556535
-0.135064,0.561246
-0.12067,0.479298
-0.0733345,0.5197
-0.122582,0.544005
-0.116116,0.481203
-0.143178,0.4902
-0.124254,0.476578
-0.142641,0.485197
-0.195366,0.464643
-0.208367,0.460465
-0.246203,0.434149
-0.262538,0.438062
-0.279071,0.412122
-0.297663,0.404262
-0.205193,0.446374
-0.224057,0.444046
-0.231171,0.51906
-0.205738,0.517527
-0.182961,0.543662
-0.188843,0.579971
-0.229452,0.587695
-0.176833,0.559578
-0.221568,0.521633
-0.233363,0.486544
-0.220984,0.50822
-0.22898,0.482454
-0.252453,0.480444
-0.227131,0.486859
-0.224888,0.424306
-0.159507,0.415976
-0.125725,0.389835
-0.132091,0.364515
-0.113431,0.382353
-0.119111,0.294742
-0.184756,0.316549
-0.17688,0.26366
-0.140154,0.266121
-0.157749,0.243053
-0.214816,0.203552
-0.157008,0.288983
-0.134142,0.386739
-0.209736,0.347158
-0.23902,0.310329
-0.200284,0.263211
-0.15531,0.249899
-0.183216,0.289367
-0.224811,0.305367
-0.208594,0.323122
-0.126526,0.410705
-0.089921,0.575053
-0.0518372,0.653895
-0.0180451,0.670226
-0.0515274,0.594949
-0.0450793,0.575981
0.0136462,0.621464
-0.0045908,0.618902
0.0260693,0.70338
0.039317,0.7604
0.0351249,0.765843
0.0212935,0.749212
-0.0120199,0.742534
-0.049243,0.680979
-0.100625,0.628236
-0.180654,0.563879
-0.23915,0.514139
-0.33415,0.517036
-0.30202,0.489798
-0.374448,0.53238
-0.354485,0.52803
-0.283599,0.455595
-0.151368,0.44744
-0.123602,0.44199
-0.104397,0.409848
-0.0518094,0.540076
-0.00769117,0.521592
-0.0391066,0.489907
-0.0588288,0.479378
-0.013974,0.525419
-0.0434258,0.50754
-0.0964965,0.476008
-0.0975273,0.42709
-0.0806001,0.368624
-0.118206,0.390451
-0.170018,0.408149
-0.208334,0.39522
-0.239048,0.306641
-0.188224,0.365376
-0.287533,0.393778
-0.233931,0.405538
-0.237553,0.433098
-0.231338,0.432742
-0.226524,0.435445
-0.230166,0.444532
-0.226976,0.446535
-0.230825,0.407546
-0.242129,0.387756
-0.197468,0.359881
-0.185552,0.439674
-0.212054,0.395342
-0.179427,0.376392
-0.198073,0.375138
-0.183862,0.418083
-0.199073,0.414921
-0.188461,0.366282
-0.176975,0.361506
-0.180556,0.408647
-0.126292,0.442439
-0.176326,0.430228
-0.196239,0.443609
-0.17685,0.39758
-0.187446,0.410339
-0.269675,0.376242
-0.260525,0.304438
-0.300309,0.282055
-0.380351,0.273074
-0.375786,0.2798
-0.343366,0.355674
-0.326795,0.32486
-0.295723,0.323164
-0.323452,0.35691
-0.254725,0.428493
-0.17499,0.51477
-0.141466,0.542512
-0.291119,0.467008
-0.425319,0.499277
-0.451851,0.563486
-0.442292,0.58235
-0.468779,0.592459
-0.493215,0.597022
-0.506727,0.641034
-0.48284,0.58828
-0.477179,0.563645
-0.462902,0.568568
-0.462167,0.536167
-0.473922,0.581592
-0.495973,0.597645
-0.497732,0.628259
-0.522415,0.666017
-0.562177,0.707493
-0.554862,0.676661
-0.530537,0.613215
-0.470837,0.505082
-0.445895,0.46019
-0.428155,0.400793
-0.441797,0.422078
-0.478952,0.479349
-0.452691,0.463736
-0.493198,0.524317
-0.488735,0.525068
-0.528634,0.576657
-0.53869,0.581569
-0.500049,0.550428
-0.508371,0.580596
-0.505852,0.595267
-0.498513,0.588843
-0.515656,0.592971
-0.505977,0.588094
-0.484461,0.558653
-0.459272,0.526941
-0.421509,0.488357
-0.345496,0.460742
-0.444362,0.490935
-0.490424,0.522898
-0.482555,0.506152
-0.468224,0.511499
-0.469337,0.492499
-0.463132,0.460417
-0.43363,0.504308
-0.411343,0.552102
-0.420606,0.546365
-0.428145,0.516009
-0.435782,0.514506
-0.43472,0.543284
-0.403789,0.539267
-0.433353,0.540696
-0.44516,0.545945
-0.451295,0.537294
-0.529539,0.531184
-0.51749,0.478614
-0.453578,0.433375
-0.412218,0.481538
-0.405111,0.526347
-0.404588,0.52532
-0.348366,0.525506
-0.338844,0.551711
-0.344762,0.526474
-0.362063,0.545512
-0.378354,0.551663
-0.332816,0.550996
-0.313796,0.538626
-0.307024,0.538594
-0.261185,0.541213
-0.250404,0.566115
-0.23483,0.579421
-0.205758,0.607963
-0.220915,0.61471
-0.199156,0.630846
-0.189062,0.619369
-0.186552,0.596847
-0.200615,0.58363
-0.213546,0.564813
-0.210217,0.579305
-0.304385,0.587645
-0.342391,0.522039
-0.256154,0.414379
-0.237158,0.425593
-0.201005,0.372394
-0.250517,0.353867
-0.31345,0.357494
-0.312452,0.362782
-0.31094,0.335031
-0.266431,0.31055
-0.256424,0.346629
-0.25669,0.362954
-0.213062,0.381841
-0.153394,0.374642
-0.142104,0.378583
-0.177683,0.40226
-0.240282,0.322887
-0.211988,0.307317
-0.19062,0.298856
-0.242869,0.251195
-0.212438,0.272691
-0.222542,0.280531
-0.218027,0.236488
-0.245945,0.255391
-0.235359,0.256384
