# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2,k3
-0.168318,0.208431,-0.218371
-0.139776,0.226158,-0.177865
-0.196463,0.320434,-0.128358
-0.197855,0.292028,-0.0896899
-0.238074,0.284185,-0.125064
-0.246383,0.288865,-0.147814
-0.222098,0.297134,-0.13923
-0.163716,0.278954,-0.152228
-0.168013,0.213275,-0.0890818
-0.261721,0.247692,-0.0421425
-0.169591,0.24149,-0.132033
-0.115971,0.271853,-0.129346
-0.086985,0.272591,-0.18614
-0.169618,0.183497,-0.145174
-0.175062,0.189011,-0.110932
-0.214581,0.261273,-0.166815
-0.22431,0.300088,-0.128893
-0.209166,0.295679,-0.147679
-0.1779,0.26013,-0.131663
-0.224976,0.397475,-0.164995
-0.25165,0.344511,-0.148603
-0.291752,0.453769,-0.1479
-0.275435,0.466067,-0.133452
-0.246202,0.47077,-0.188918
-0.177793,0.538636,-0.21807
-0.221464,0.535691,-0.192323
-0.233087,0.517573,-0.152657
-0.252999,0.533435,-0.125566
-0.292652,0.575054,-0.18513
-0.345205,0.587629,-0.148422
-0.329163,0.559837,-0.0365735
-0.360513,0.574697,-0.0150263
-0.373146,0.597854,-0.046663
-0.358188,0.583145,-0.0780559
-0.364503,0.52565,-0.017737
-0.372082,0.429745,-0.048936
-0.325375,0.378147,-0.0797882
-0.333162,0.411806,-0.0186365
-0.316778,0.36888,0.0100229
-0.338596,0.403172,0.0786228
-0.386927,0.502938,0.126513
-0.386029,0.543188,0.0853104
-0.316579,0.454489,-0.0071158
-0.289584,0.398299,-0.065034
-0.273418,0.341549,-0.0871492
-0.258157,0.341168,-0.0869614
-0.257872,0.243424,-0.179619
-0.236105,0.213597,-0.119767
-0.223958,0.302544,-0.177186
-0.21684,0.274693,-0.22126
-0.241535,0.297345,-0.146765
-0.198564,0.307149,-0.170539
-0.224819,0.29556,-0.126845
-0.212682,0.278748,-0.210175
-0.225304,0.287592,-0.154414
-0.198738,0.269779,-0.0932829
